,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
22,Radio 022_sd 107_8.mp3,172.265625,222346,1277.8505747126437,0.44815152287348403,0.2867379351078831,0.08221864342993258,0.3999479628661583,0.2843703678781638,0.0808665061271622,0.23372270707677523,0.1694314891926446,0.028707029530037252,10.639436290558915,88.31674154842207,7799.846837730781,6.422673607467089,31.476731152802067,990.7846040657802,0.0041471988668886055,2.509402014828206,6.297098472023859,0.20764724910259247,0.054416194558143616,0.0029611221980303526,2567.060530980555,698.0050921269076,487211.1086350927,3005.438842400388,364.215755056139,132653.11623111344,20.0159530010022,5.8784666843456845,34.55637055896214,6408.523748533645,1673.8895675203178,2801906.2842533565,1.8447784482800955,1.9504818906681245,3.8043796058243013,-0.013453318325741202,0.08920908352420075,0.007958260583227825,0.07191604283571981,0.04612961432224602,0.002127941317519165,1.6723286535125226e-05,0.19346217811107635,0.037427615374326706,0.00040934959542937577,0.05249973386526108,0.002756221918389201,2.36843537414966,1.1908464158581258,1.4181151861621442
23,Radio 023_sd 106_8.mp3,117.45383522727273,135273,1218.6756756756756,0.36975897319357426,0.31605687872018645,0.09989195058634665,0.5041051633116292,0.2888133360175409,0.08341314306158099,0.26957907164804884,0.10324949134358712,0.010660457462709471,2.0747762730729087,15.997516733243286,255.92054163039893,-3.9834020123255116,45.03958041077648,2028.5638035788002,0.0036794456953491697,4.097219312672942,16.787206096140135,0.09164117276668549,0.03971041738986969,0.0015769171295687556,2730.0846511388663,937.3730865532883,878668.3033944385,2545.1832280275216,398.85163247981984,159082.62473181728,20.304185469682285,6.825895899157381,46.59285482613355,5511.270840765891,1590.1313866902447,2528517.8269374403,1.0934720778948013,1.3809449241819431,1.9070088836238726,0.003997002347680593,0.06921130651336514,0.00479020494928698,0.13020253845781735,0.08795192541551809,0.0077355411842968584,0.00028793292585760355,0.07112192362546921,0.005058327689766884,0.0005496408557519317,0.05019468441605568,0.002519506262615323,6.507392290249433,2.482959977081326,6.165090247787701
24,Radio 024_sd 103_2.mp3,161.4990234375,206750,1284.1614906832299,0.4043403254391956,0.31202136635922273,0.09735733306467628,0.5430100888131613,0.27366874595586943,0.07489458251305821,0.2743555926777786,0.08979054571478104,0.008062342099758184,3.1923373088764833,27.53130084170228,757.9725260363166,-1.8765411499888094,42.962975845422164,1845.8172934943286,5.4246656644554664e-06,3.7006279824351416,13.694647464381987,0.11301053315401077,0.04643729701638222,0.002156422706320882,2675.274370883791,905.685190276417,820265.6638860295,2548.9533279702678,456.70392153414537,208578.4719446668,19.775869379370388,6.729718985564862,45.28911762467216,5443.258752025687,1730.8186043253195,2995733.0410786467,1.3118412367440124,1.544569865162309,2.3856960683675132,0.0026965666919091303,0.05718413102139212,0.0032700248406717413,0.1203146541819853,0.07466330888405846,0.005574609693516323,0.00035201257560402155,0.08051265776157379,0.006482288241386414,0.0007318872376345098,0.06601674109697342,0.004358209669589996,3.2078367346938776,1.9140522138530152,3.663595877355628
25,Radio 025_sd 88_1.mp3,129.19921875,160645,1274.9603174603174,0.4869650196600878,0.2836441469716185,0.0804540021112571,0.43590970476258445,0.2892038157180112,0.08363884702585736,0.2358813524785019,0.16641310310863772,0.02769332088624609,8.440529194749567,57.60282550025575,3318.085505612914,6.673803636809798,19.473845879736167,379.23067334771724,0.003303604601984252,2.6493099487821876,7.018843204716278,0.19870366156101227,0.03370792791247368,0.0011362243676558137,3307.445273770077,626.2292822324124,392163.11392532237,2929.314635720414,343.4635623837481,117967.21868533482,18.6375374182848,6.7986789536529235,46.222035514843206,6997.178522352095,1192.6113724526392,1422321.8857033676,2.5355524043895903,2.7415145160060934,7.5159018414721235,0.025075552739654262,0.06774180734457279,0.004588952462309216,0.14343998675744968,0.06301615260336384,0.003971035488930438,-0.0005896716029383242,0.15066732466220856,0.022700641304254532,-0.002360822632908821,0.09096867591142654,0.00827530026435852,4.37231746031746,2.7278071009946117,7.440931580236628
26,Radio 026_sd 91_5.mp3,95.703125,114606,1245.7173913043478,0.4685071801031596,0.2767833713828012,0.07660903467402966,0.5794464245816997,0.2540584048896925,0.06454567309509493,0.27128803738151874,0.09867185063135811,0.009736134107017047,6.220161689183683,51.8671130404824,2690.1974151541795,4.495197144291844,35.275252864592524,1244.3434646609433,0.004835423069272977,2.1953783563602487,4.819686127575028,0.1573520004749298,0.045769624412059784,0.0020948585588485003,2357.2181337744505,713.259303396217,508738.83388125675,2867.595632862024,353.056986716743,124649.23586950645,19.986174423725632,6.411307017322193,41.1048576703648,5887.256067234665,1607.2444842755565,2583234.8322341996,1.559886406029441,1.6144589118026373,2.6064775778989557,-0.006292386475261545,0.05486899895197165,0.0030106070459914656,0.07604564749419504,0.04223344367348668,0.0017836637645215717,7.828944944776595e-05,0.13617795705795288,0.018544435501098633,0.0012562413467094302,0.046463195234537125,0.0021588285453617573,2.575092970521542,1.536731263275965,2.3615429755297432
27,Radio 027_sd 94_7.mp3,151.99908088235293,187766,1277.3197278911564,0.39906694525441794,0.29804564914375653,0.0888312089735232,0.4716472012842382,0.28663034865817283,0.08215695677190571,0.2504228236296296,0.143602725387427,0.02062174273869677,6.705409248780745,57.761161390245384,3336.351765149974,0.14018369458105143,28.628903146629106,819.6140953790699,-0.002259563295322924,2.557860307125438,6.5426493507678405,0.16304169595241547,0.06409185379743576,0.0041077653877437115,2842.5913418866107,811.5984140895508,658691.9857526739,2791.9387896712474,432.54732591738986,187097.1891582847,20.07406748459927,6.528563698195552,42.62214396139678,6302.020225879209,1692.2985736600103,2863874.4624117054,1.8708781684302782,2.0848559090119636,4.346624161342102,-0.0026920284707065553,0.08291920912760564,0.006875595242347599,0.11908488081704721,0.06689120108257944,0.004474432782270076,-0.0005921651609241962,0.14842067658901215,0.022028697654604912,-0.0008333658915944397,0.06057589873671532,0.0036694395821541548,3.2844625850340137,1.9182756969471033,3.6797816494978948
28,Radio 028_sd 95_9.mp3,117.45383522727273,150594,1287.128205128205,0.4581736578859855,0.2828006653321973,0.07997621631233345,0.5036299815557309,0.2630724082728796,0.06920709199449265,0.25876782943371884,0.12795524132873617,0.016372543783495116,6.337737577533178,37.85355535365165,1432.8916529119695,4.649276362530415,27.20262182574156,739.982634194311,0.0025927377074431938,2.1772915642063397,4.740598555564089,0.16476084291934967,0.03807385638356209,0.0014496184885501862,2549.407085460937,639.2460297970678,408635.4866113137,2760.8485463028946,332.0246967583257,110240.39925745815,18.901814262413627,6.285857431144268,39.512003644671616,5829.889747454286,1390.4925566372922,1933469.5500637135,2.1153256860645704,2.24839220391771,5.055267502637939,-0.006227542985194017,0.06991323644510936,0.004887860630229767,0.09844932910458591,0.04550734816226462,0.0020709187367615694,-0.00019374290423002094,0.12713322043418884,0.016162855550646782,-0.001537152100354433,0.06824903935194016,0.004657931160181761,4.1888798185941045,2.162217939411109,4.675186417511222
29,Radio 029_sd 96_4.mp3,123.046875,135433,1177.6782608695653,0.4188016971509873,0.30555500985769923,0.09336386404913867,0.46616733515816616,0.27484094132059783,0.0755375430259923,0.25454830349221513,0.13615614023087047,0.018538494522568467,4.3590135191711825,30.529859132578267,932.0722986550727,1.631753336454927,31.554415645708897,995.6811467421584,0.001945489179930605,3.1195850416981106,9.731810832386603,0.13522124290466309,0.04566003009676933,0.0020848382264375687,2750.518972860394,734.2238792900856,539084.7049197822,2715.406305873234,345.79265465925437,119572.56001629436,19.644866045860063,6.840436307755396,46.79156888045827,5994.69291757873,1401.8823624389083,1965274.158117295,1.6693758144692863,1.9593691879699517,3.8391276147660283,0.015895805136618573,0.0721524203820632,0.005205971766989969,0.11457678260448917,0.0693851724552744,0.004814302156648169,-0.0003347449528519064,0.10573645681142807,0.011180197820067406,-0.0010645284783095121,0.06839621812105179,0.004678043071180582,2.144362811791383,1.4232009145902782,2.0255008432906045
30,Radio 030_sd 98_0.mp3,117.45383522727273,151627,1284.9745762711864,0.3429987098725671,0.29464993210665236,0.08681858249045483,0.42522839713503835,0.27267676491729803,0.07435261812576341,0.2349392348341344,0.16774054151839624,0.02813688926888481,3.25356154476239,26.118636140598635,682.1831538449852,0.7486384068202263,43.367227786847494,1880.7164459163175,0.004071619633037937,3.043001144786796,9.259855967173753,0.11513212323188782,0.03534361347556114,0.0012491709785535932,2172.7776607069613,1009.8051288771873,1019706.3983066728,2327.987332528136,578.5819675830405,334757.09321226255,20.97775337346302,6.55321058262848,42.944568940273896,4535.768406162321,2130.928655322417,4540856.934074204,1.3752822264477678,1.5020854505617804,2.256260700789387,-0.0012465743258711602,0.08689321279454691,0.007550430429758411,0.09524961300309598,0.06285228217153269,0.003950409374169965,-0.00016817332652863115,0.10204744338989258,0.010413680225610733,-0.0010349031072109938,0.040859345346689224,0.0016694861697033048,2.068897959183674,1.1731915117971676,1.3763783233529239
31,Radio 031_sd 99_2.mp3,123.046875,156525,1272.560975609756,0.5003549967772201,0.27430182684230525,0.07524149220902603,0.5012565265118535,0.27671760296691583,0.07657263179175566,0.25793664572772074,0.1296226065316757,0.01680202012406562,7.476387788536926,54.28948155872722,2947.3478079153824,5.809358435002742,25.13078845315003,631.5565282769788,0.002798075911747693,2.5472207371130566,6.488333483578784,0.1795734465122223,0.03819030150771141,0.0014584989985451102,2998.901937144962,599.6736794143122,359608.52178229927,3041.5387927676234,215.1040708708364,46269.761305205815,19.31617241996256,6.249495791530252,39.05619764835433,6957.507928901413,854.9470207609908,730934.4083080939,1.9585075221597754,2.163831634583059,4.682167342822393,-0.0033138436797098985,0.059205337800918925,0.003505272024120919,0.10088733401460913,0.0547411093376331,0.0029965890515147014,-0.0003184221568517387,0.14756466448307037,0.02177533134818077,-0.001692797988653183,0.06959354877471924,0.004843261558562517,2.681904761904762,1.6893933284871852,2.8540498183370104
